Observation_ID,Common_Name,Scientific_Name,Family,Genus,Observed_Length_(m),Observed_Weight_(kg),Age_Class,Sex,Date_of_Observation,Country/Region,Habitat_Type,Conservation_Status,Observer_Name,Notes
477,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,3.52,191.7,Adult,Unknown,24-05-2005,Malaysia,Rivers,Data_Deficient,Jennifer_Lewis,Remain_save_eight_believe_arrive_four.
478,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.88,125.2,Subadult,Female,18-07-2011,Cuba,Freshwater_Wetlands,Critically_Endangered,Terry_Barajas,Remember_special_accept_mean_herself_within_provide_car_throughout_American.
479,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.82,133.4,Adult,Female,17-05-2020,Guatemala,Lagoons,Least_Concern,Christopher_Vasquez,There_car_fish_most_center_bring_analysis_campaign_the_strong_security.
480,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,3,129.6,Adult,Female,19-08-2012,Mexico,Swamps,Least_Concern,Diane_Mcdowell,Stop_unit_might_job_close_say_man_wear_new_type_PM_key.
481,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.34,94.9,Adult,Unknown,25-12-2020,Cuba,Swamps,Critically_Endangered,Anthony_White,Employee_relationship_job_yet_until_American_ground_remember_magazine_manage_suffer_term_buy_behavior_test.
482,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,1.68,102,Juvenile,Unknown,16-02-2022,Costa_Rica,Estuaries,Vulnerable,Christopher_Hicks,None_production_defense_your_above_short_Congress_turn_east.
483,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,3.43,334.3,Adult,Female,30-06-2020,Sudan,Rivers,Least_Concern,Mr._Gary_Mitchell_DVM,Hour_opportunity_week_student_child.
484,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,5.31,998.3,Adult,Male,10-07-2015,Kenya,Marshes,Least_Concern,Ronald_Keller,Pick_especially_price_forget_analysis_performance_laugh.
485,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,2.86,144.4,Adult,Male,14-01-2007,Cuba,Mangroves,Vulnerable,Zoe_Meadows,Can_tell_soon_executive_sometimes_season_natural_own_begin_effort_drive_side_human_after.
486,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,1.61,39.8,Juvenile,Male,20-01-2021,Papua_New_Guinea,Rivers,Least_Concern,James_Powell,Building_make_it_south_financial_rate.
487,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.37,18.9,Subadult,Unknown,30-05-2007,Congo,Slow_Streams,Data_Deficient,Max_Collier,Customer_knowledge_hold_environmental_outside_bed_institution_happy_control_piece_behavior_message_wind_put_positive.
488,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,0.93,36.6,Juvenile,Unknown,20-06-2011,Indonesia,Rivers,Data_Deficient,Tara_Rose,Base_life_bad_soon_feel_worker_range_feel_eat_into_notice_necessary_true.
489,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.29,88.5,Subadult,Female,27-03-2009,Cameroon,Swamps,Endangered,Kayla_Gutierrez,Produce_nothing_effect_effort_bank_me_box_product_conference_consider_hotel_bar_theory.
490,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,2.63,194.4,Adult,Male,20-03-2008,Colombia,Flooded_Savannas,Critically_Endangered,Kevin_Gibson,Perhaps_enter_whom_the_cost_continue_section_page.
491,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,2.66,209.5,Juvenile,Female,26-02-2022,Colombia,Flooded_Savannas,Critically_Endangered,Ashley_Ferguson,House_actually_pretty_least_if_price.
492,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,1.98,81.8,Subadult,Male,27-03-2007,Congo_Basin_Countries,Forest_Rivers,Endangered,Molly_Turner,Guess_purpose_real_house_few_by_add_born_administration.
493,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.74,124,Adult,Male,19-01-2022,Cameroon,Swamps,Endangered,Shannon_Clark,Power_job_personal_so_course_feeling_leg_listen_against_coach.
494,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,1.82,56.7,Adult,Male,19-02-2022,Philippines,Rivers,Critically_Endangered,Michael_Maynard,After_last_drug_far_stop_hot_free_bill.
495,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.76,126.9,Adult,Female,04-11-2024,Senegal,Rivers,Least_Concern,Jessica_Perry,Say_other_never_fact_maintain_main_opportunity_particularly_question_stage_maintain_research_month_instead_firm.
496,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.52,106,Adult,Unknown,05-02-2017,Malaysia,Estuarine_Systems,Data_Deficient,Steven_Butler,Bring_performance_position_large_job_claim_risk_light_just_medical_onto_rate_two_table_resource_life.
497,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,4.22,441.8,Subadult,Male,31-03-2018,Venezuela,Large_Rivers,Critically_Endangered,Miranda_Myers,Strategy_pull_same_somebody_son_suddenly_perform_executive_see_project_can_current.
498,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,3.22,149.7,Subadult,Male,31-10-2019,Papua_New_Guinea,Freshwater_Wetlands,Least_Concern,Ashlee_Perry,Field_decide_another_adult_thing_ground_city_still_thus_allow_as.
499,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,0.27,19.9,Hatchling,Female,28-09-2017,Australia,Billabongs,Least_Concern,Luke_Martinez,Main_year_size_show_show.
500,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.67,133.4,Adult,Male,30-06-2020,Congo_Basin_Countries,Forest_Rivers,Endangered,Stephanie_Castaneda,Page_bit_anyone_watch_sometimes_while_sense_window_sit_participant_teach_big_none.
501,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.24,99.8,Subadult,Male,07-11-2023,Congo_Basin_Countries,Forest_Rivers,Endangered,Carol_Wilson,Treat_church_factor_kid_media_run_between_positive.
502,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,1.87,57.7,Juvenile,Female,18-02-2011,Cambodia,Oxbow_Lakes,Critically_Endangered,Chad_Allison,Wide_shoulder_according_strong_list_expert_commercial_entire_resource_increase_picture_early_send_morning_skin_case.
503,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.4,98,Subadult,Female,09-01-2014,Gabon,Swamps,Endangered,Thomas_Villanueva,Some_gun_ahead_certainly_act_south_want_be_fire_word_clearly_article_service_produce_political_total_around.
504,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,3.77,400,Adult,Female,23-04-2019,Colombia,Large_Rivers,Critically_Endangered,Michelle_Guerrero,Win_information_though_red_them_return_finish_general_still_too_particular_chair_identify_popular_thought_person_peace.
505,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,1.74,52.7,Subadult,Male,22-03-2019,Philippines,Rivers,Critically_Endangered,Gregory_Cain,Simple_thing_base_Mr_hope_rest_they_minute_must_degree_memory.
506,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,0.84,25,Juvenile,Female,21-11-2015,Australia,Billabongs,Least_Concern,Glen_Reid,Agreement_someone_or.
507,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,1.45,41.6,Juvenile,Female,19-07-2022,Philippines,Freshwater_Marshes,Critically_Endangered,Raymond_Barber,Book_art_health_phone_great_answer_prepare_by.
508,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.96,118,Adult,Unknown,26-11-2023,Papua_New_Guinea,Lakes,Least_Concern,Norman_Chavez,South_writer_not_thus_physical_mouth.
509,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.61,25,Adult,Female,28-01-2023,Cameroon,Forest_Swamps,Vulnerable,Hayley_Mitchell,Public_research_mind_easy_foreign_old_state_guess_better_Republican_stock_bank_artist_thousand_live.
510,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,2.25,74.6,Subadult,Female,27-08-2015,Philippines,Rivers,Critically_Endangered,Jacob_Fox,Next_single_the_once_PM_you_ready_way_rule_indicate.
511,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,0.57,33.6,Hatchling,Male,29-06-2020,Papua_New_Guinea,Rivers,Least_Concern,Jonathan_Washington,Can_relate_tell_brother_defense_list_second_want_hard_weight_own_impact_building_occur_American_check.
512,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.7,118.5,Adult,Female,18-09-2013,Mali,Lakes,Least_Concern,William_Turner,Agreement_central_six_instead_view_figure_exist_consumer_science_able_natural_attack.
513,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,2.01,60.8,Adult,Unknown,12-02-2012,Australia,Freshwater_Rivers,Least_Concern,John_Collins,Too_sit_little_result_paper_seven_measure_leave_last_last_term.
514,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,3.94,324.6,Adult,Male,29-06-2023,Cuba,Mangroves,Vulnerable,Robert_Beck,Hold_too_fund_animal_provide_kitchen_everyone_because_close_agent_picture_sign_final_population_popular.
515,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,0.28,73.1,Hatchling,Unknown,12-12-2014,USA,Estuaries,Vulnerable,Tyler_Weaver,Whatever_miss_seek.
516,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.41,96.7,Adult,Unknown,12-02-2022,Mauritania,Oases,Least_Concern,Alicia_Barrett,Conference_affect_skill_early_relationship_thought_know_southern_parent_I_and_technology_age_join_increase.
517,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.22,66,Subadult,Female,30-01-2009,Indonesia,Swamps,Least_Concern,Emily_Scott,Woman_my_experience_consumer_shoulder_child.
518,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,3.69,379.4,Adult,Male,12-02-2006,South_Africa,Reservoirs,Least_Concern,Meghan_Brown,Consider_require_fear_better_central_throw_election_walk_tonight_appear.
519,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.63,97.3,Subadult,Unknown,23-07-2009,Cuba,Swamps,Critically_Endangered,Kyle_Young,Sell_his_boy_art_let_imagine_machine_imagine_do_though_especially_white.
520,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.67,143.2,Adult,Male,20-05-2014,Cameroon,Swamps,Endangered,Danielle_Peters,Fight_image_base_player_data_whose.
521,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,3.78,419.4,Adult,Female,04-12-2006,Kenya,Reservoirs,Least_Concern,William_Casey,Weight_which_new_among_spend_which_per_president_cold_art.
522,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.54,84.7,Adult,Male,19-06-2012,Papua_New_Guinea,Swamps,Least_Concern,Denise_King,Yourself_successful_defense_subject_example_claim_move_attorney_bed_recognize_store.
523,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,3.61,399.7,Juvenile,Male,03-11-2010,India,Coastal_Wetlands,Least_Concern,Yvonne_Johns,Particular_whatever_five_radio_garden_end_sell_laugh_early.
524,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,0.26,44.6,Hatchling,Female,10-10-2021,Liberia,Swamps,Critically_Endangered,Mrs._Julia_Greene,Trial_card_two_participant_above_act.
525,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.97,179.8,Subadult,Male,19-06-2017,Vietnam,Slow_Rivers,Critically_Endangered,Justin_Horton,Several_Mrs_skin_power_back_all_story_public_public_good.
526,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,1.95,69.2,Juvenile,Female,30-12-2012,Cuba,Swamps,Critically_Endangered,Samantha_Howard,Stuff_speech_worker_by_have_cover_act_sea_serve_quite.
527,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,0.79,32.4,Juvenile,Female,20-08-2017,Guatemala,Lagoons,Least_Concern,Cheryl_Velasquez,Field_response_doctor_management_guy_exactly_toward_religious_decide_cultural_start_how.
528,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,4.41,646.1,Adult,Female,01-08-2005,Tanzania,Rivers,Least_Concern,Laura_Snyder,Create_school_public_owner_compare_open_second_camera_value_talk_thing_rock_ever_summer_age.
529,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,3.18,153.5,Subadult,Male,22-05-2012,Papua_New_Guinea,Rivers,Least_Concern,Megan_Mendez,Third_ability_interview_pull_practice_take_follow_such_imagine_business_million_many_military_analysis.
530,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.89,150.2,Adult,Male,18-06-2005,Cuba,Freshwater_Wetlands,Critically_Endangered,Amber_Hull,Large_accept_create_bank_occur_agent_scene_within_interest_avoid_economic_clearly_financial_personal_benefit.
531,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.77,133.6,Subadult,Unknown,15-07-2018,Mauritania,Lakes,Least_Concern,Robert_Watkins,Various_subject_east_list_when_strategy_start_mind_door.
532,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,2.85,125.8,Adult,Unknown,07-03-2009,Papua_New_Guinea,Rivers,Least_Concern,Kyle_Gonzales,Personal_often_beat_art_almost.
533,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,4.71,695.5,Adult,Unknown,14-02-2019,Malaysia,Estuaries,Least_Concern,Ryan_Brown,Artist_sort_area_particularly_it_big_argue.
534,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.71,124.4,Adult,Male,25-09-2016,Côte_d'Ivoire,Swamps,Critically_Endangered,Samuel_Morales,Sell_do_outside_process_action_himself_somebody_they.
535,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.13,12.3,Subadult,Unknown,14-05-2005,Congo,Slow_Streams,Data_Deficient,Gina_Pace,Law_foreign_court_bill_organization.
536,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,3.96,385.8,Subadult,Male,26-09-2009,Venezuela,Large_Rivers,Critically_Endangered,Richard_Lee,Call_meeting_green_loss_per_control_case_analysis_camera_once_message_prepare_group.
537,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.35,87.5,Subadult,Unknown,02-07-2018,Guatemala,Rivers,Least_Concern,Kimberly_Thomas,Final_garden_hard_account_only_question_arm_medical_strong_teach_instead_crime.
538,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,1,37.4,Juvenile,Unknown,22-03-2009,Papua_New_Guinea,Freshwater_Wetlands,Least_Concern,Terry_Glover,Country_little_reality_level_realize_system_not_friend_federal_forget_bit_then_treat.
539,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.41,93.5,Subadult,Male,13-08-2007,Cuba,Freshwater_Wetlands,Critically_Endangered,Thomas_Fowler_DDS,Perhaps_dream_same_weight_former_science_day_contain_wrong_guy_available_air_boy_fact_create.
540,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.41,106.9,Adult,Male,27-06-2012,Cameroon,Forest_Rivers,Endangered,Pamela_Williams,Current_exist_despite_energy_company_suggest_early.
541,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.78,127.4,Subadult,Unknown,23-12-2025,Malaysia,Rivers,Data_Deficient,Christopher_Green,Again_quality_her_skin.
542,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,0.97,10.4,Adult,Male,06-02-2016,Ghana,Small_Streams,Vulnerable,Timothy_Torres,Hard_head_commercial_money_sometimes_perhaps_its_represent_budget_third_capital.
543,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.25,77,Juvenile,Unknown,22-02-2024,Malaysia,Rivers,Data_Deficient,Joseph_Benson,Outside_with_each_animal_pattern_country_movement_smile_foreign_apply.
544,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.61,136.8,Adult,Female,29-06-2020,Senegal,Rivers,Least_Concern,Shelley_York,Though_decide_bank_likely_professional_ask_meet_seem_population_meeting_material_less_focus_hear_reason_resource_manager.
545,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.17,81.4,Subadult,Male,18-01-2013,Cuba,Swamps,Critically_Endangered,James_Morse,Power_debate_thus_later_doctor_despite_interesting_help_church_successful.
546,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,1.42,110.1,Juvenile,Female,04-04-2022,Venezuela,Flooded_Savannas,Critically_Endangered,Bradley_Walton,Know_goal_once_let_perform_international_level.
547,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.6,28.3,Adult,Male,18-05-2007,Ghana,Forest_Swamps,Vulnerable,Robert_Stewart,Agent_kid_enter_away_top_family_maybe_national_back_everybody_direction_budget_growth_national_free.
548,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,5.79,904.4,Adult,Unknown,26-11-2014,Philippines,Coastal_Wetlands,Least_Concern,Danielle_Mcgee,Course_page_case_talk_respond_myself.
549,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.73,108.8,Subadult,Female,28-08-2012,Cuba,Freshwater_Wetlands,Critically_Endangered,Randy_Campbell,Situation_identify_if_oil_pretty_line_mention.
550,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,2.66,115.8,Adult,Female,28-08-2022,Thailand,Slow_Rivers,Critically_Endangered,Brittany_Sanders,Rich_decide_do_only_need_light_sport_future_beat_suffer.
551,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,3.44,200.8,Adult,Unknown,31-01-2023,Indonesia,Rivers,Data_Deficient,Tom_Butler,Last_next_hear_officer_campaign_wall_act_special_strong_fund_industry_rate.
552,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.72,96.3,Adult,Male,30-03-2025,Papua_New_Guinea,Rivers,Least_Concern,Richard_Medina,Only_nothing_allow_cause_with_yes_nothing_sometimes_trial_off_hospital_high_we_as.
553,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,1.96,57.1,Subadult,Unknown,10-09-2018,Australia,Gorges,Least_Concern,John_Murphy,Police_fight_commercial_push_concern_step_owner_agree_current_treat_history_day_fact_modern.
554,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.78,154.3,Subadult,Male,04-10-2024,Liberia,Shaded_Forest_Rivers,Critically_Endangered,Jacob_Smith,Teacher_improve_church_book_movie_long.
555,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.54,27.4,Adult,Male,11-07-2005,Congo,Slow_Streams,Data_Deficient,Troy_Glenn,That_finally_stand_professor_city_offer.
556,Freshwater_Crocodile_(Johnstone's),Crocodylus_johnstoni,Crocodylidae,Crocodylus,0.39,18,Hatchling,Female,03-11-2017,Australia,Billabongs,Least_Concern,Dale_Moran,Every_account_central_ask_human_space_moment_travel_these_least_office_say.
557,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,3.65,249.9,Adult,Unknown,31-03-2010,Nepal,Reservoirs,Vulnerable,Stanley_Bryant,Hospital_statement_sure_indeed_conference_pay_it_his_probably.
558,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,3.1,156.3,Adult,Female,11-03-2015,Cuba,Freshwater_Wetlands,Critically_Endangered,Anna_Hale,Dream_that_event_physical_factor_trouble_recently.
559,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.52,100.7,Subadult,Female,15-11-2014,Malaysia,Estuarine_Systems,Data_Deficient,Claudia_Snyder,Building_hard_sense_mean_single_improve_close_debate_and_ago.
560,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.7,115.8,Adult,Unknown,08-10-2009,Cuba,Swamps,Critically_Endangered,Megan_Murray,Second_talk_however_action_boy_true.
561,Orinoco_Crocodile,Crocodylus_intermedius,Crocodylidae,Crocodylus,4.24,444.1,Subadult,Female,18-08-2005,Venezuela,Large_Rivers,Critically_Endangered,Paul_Washington,Bar_prevent_require_just_likely_evidence_claim_stuff.
562,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,4.18,542.3,Subadult,Female,11-07-2022,Papua_New_Guinea,Coastal_Wetlands,Least_Concern,Cassandra_Martinez,Collection_provide_action_event_key_concern_research_throughout.
563,Cuban_Crocodile,Crocodylus_rhombifer,Crocodylidae,Crocodylus,2.76,126.3,Subadult,Female,08-09-2013,Cuba,Swamps,Critically_Endangered,Jessica_Williams,Political_respond_to_hospital_final_appear_above_significant_short_up_hear_draw_before.
564,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,0.33,5.5,Juvenile,Unknown,06-12-2011,Congo,Forest_Swamps,Data_Deficient,William_Rogers,Quite_as_when_benefit_structure_professional_right.
565,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.35,20.1,Adult,Male,07-10-2019,Congo,Forest_Swamps,Data_Deficient,Jose_Ochoa,No_couple_debate_must_voice_building_degree_ground_community_I.
566,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,0.41,17.5,Hatchling,Female,18-01-2009,Philippines,Freshwater_Marshes,Critically_Endangered,James_Ellis,Price_everything_perhaps_analysis_those_in_should_matter_wrong.
567,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,2.03,68.5,Juvenile,Male,13-10-2018,Indonesia,Lakes,Least_Concern,Raven_Nielsen,Commercial_where_outside_wonder_recent_question_win.
568,Saltwater_Crocodile,Crocodylus_porosus,Crocodylidae,Crocodylus,5.4,765.7,Adult,Male,01-03-2006,India,Mangroves,Least_Concern,Evelyn_Reid,Within_project_attack_adult_treatment_large_memory_score_me.
569,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,0.47,34.5,Hatchling,Male,14-01-2011,Congo_Basin_Countries,Forest_Rivers,Endangered,Alexis_Smith,Final_scene_serious_people_art_hear.
570,Congo_Dwarf_Crocodile,Osteolaemus_osborni,Crocodylidae,Osteolaemus,1.4,24.2,Adult,Male,17-05-2013,Congo,Forest_Swamps,Data_Deficient,Christian_Harris,Draw_rise_write_kitchen_theory_care_fish_skin.
571,Borneo_Crocodile_(disputed),Crocodylus_raninus,Crocodylidae,Crocodylus,2.2,67.4,Adult,Female,30-05-2018,Malaysia,Estuarine_Systems,Data_Deficient,Ricky_Perry,Seek_director_run_garden_day_approach_truth_write_soon_recent.
572,Philippine_Crocodile,Crocodylus_mindorensis,Crocodylidae,Crocodylus,1.81,45.5,Subadult,Male,06-04-2021,Philippines,Rivers,Critically_Endangered,Shane_Boyd,Kind_accept_thank_attorney_court_plant_center.
573,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.01,10,Juvenile,Female,13-06-2018,Liberia,Forest_Swamps,Vulnerable,Brandon_Watkins,Door_back_right_find_return_each.
574,Nile_Crocodile,Crocodylus_niloticus,Crocodylidae,Crocodylus,4.35,507.6,Adult,Unknown,28-09-2006,Nigeria,Rivers,Least_Concern,David_Mitchell,Whose_cut_television_loss_week_growth_help_likely_institution_participant_item_choose_west_lot_seven.
575,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,0.32,34.1,Hatchling,Female,18-03-2005,Mexico,Lagoons,Least_Concern,Bradley_Knox,Organization_check_risk_either_less.
576,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,3.13,196.2,Adult,Male,04-04-2010,Vietnam,Swamps,Critically_Endangered,James_Obrien,Four_resource_cultural_trouble.
577,Siamese_Crocodile,Crocodylus_siamensis,Crocodylidae,Crocodylus,0.91,36.9,Juvenile,Unknown,22-04-2020,Thailand,Slow_Rivers,Critically_Endangered,Scott_Cross,Man_understand_wait_wife_health_majority_political_open.
578,American_Crocodile,Crocodylus_acutus,Crocodylidae,Crocodylus,3.62,210.4,Subadult,Unknown,15-03-2020,Venezuela,Mangroves,Vulnerable,Andrew_Dorsey,Usually_class_several_whatever_side_seem_give_remember_play_happy_around_history_interest_east_local.
579,West_African_Slender-snouted_Crocodile,Mecistops_cataphractus,Crocodylidae,Mecistops,2.81,146.9,Subadult,Male,03-04-2020,Ghana,Swamps,Critically_Endangered,Heather_Mann,Recently_population_end_lay_race_effect_own_weight.
580,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,3.11,134.8,Adult,Male,17-07-2021,Papua_New_Guinea,Rivers,Least_Concern,Alexandria_Wise,Huge_only_too_million_country_institution_stop.
581,Mugger_Crocodile_(Marsh_Crocodile),Crocodylus_palustris,Crocodylidae,Crocodylus,2.51,124.6,Subadult,Female,08-11-2023,Nepal,Rivers,Vulnerable,Eric_Ponce,Only_safe_sell_under_thank_body_of.
582,Central_African_Slender-snouted_Crocodile,Mecistops_leptorhynchus,Crocodylidae,Mecistops,2.82,160.9,Adult,Unknown,24-11-2018,Gabon,Forest_Rivers,Endangered,Robin_Adams,Us_huge_final_would_staff_ability_attorney_recent_modern_pressure_run.
583,Morelet's_Crocodile,Crocodylus_moreletii,Crocodylidae,Crocodylus,2.58,87.1,Subadult,Unknown,03-04-2006,Guatemala,Swamps,Least_Concern,James_Padilla,Main_me_book_note_defense_cut_seek_speak.
584,West_African_Crocodile,Crocodylus_suchus,Crocodylidae,Crocodylus,2.74,150.1,Adult,Female,12-08-2013,Chad,Lakes,Least_Concern,William_Savage,Phone_person_than_coach_fall_help_everybody_garden.
585,New_Guinea_Crocodile,Crocodylus_novaeguineae,Crocodylidae,Crocodylus,0.72,33.8,Juvenile,Unknown,15-09-2022,Papua_New_Guinea,Rivers,Least_Concern,Karen_Chambers,Act_entire_western_program_smile.
586,West_African_Dwarf_Crocodile,Osteolaemus_tetraspis,Crocodylidae,Osteolaemus,1.09,11,Adult,Male,12-11-2007,Liberia,Small_Streams,Vulnerable,Daniel_Conner,Owner_would_seven_usually_list_front_investment_he_three_yourself_stage_wait_professor_her_arm.
587,Hall's_New_Guinea_Crocodile,Crocodylus_halli,Crocodylidae,Crocodylus,0.49,32.2,Hatchling,Male,29-04-2010,Papua_New_Guinea,Rivers,Least_Concern,Gary_Garcia,That_I_structure_understand_agent_but_most_week_seem_eat_later_rather.
